nome;estrelas;criado_em;atualizado_em;idade_anos;linguagem;pull_requests_aceitas;total_releases;total_issues;issues_fechadas;razao_issues_fechadas;dias_desde_atualizacao
jackfrued/Python-100-Days;179098;2018-03-01;2026-02-28;8.00;Jupyter Notebook;13;0;710;188;0.2648;0
n8n-io/n8n;176866;2019-06-22;2026-02-28;6.69;TypeScript;13965;543;8150;7649;0.9385;0
flutter/flutter;175374;2015-03-06;2026-02-28;10.98;Dart;46848;7;112355;100171;0.8916;0
twbs/bootstrap;174002;2011-07-29;2026-02-28;14.59;MDX;9109;94;22849;22453;0.9827;0
github/gitignore;172726;2010-11-08;2026-02-28;15.31;(não detectada);1727;0;0;0;0;0
massgravel/Microsoft-Activation-Scripts;167248;2020-01-12;2026-02-28;6.13;Batchfile;5;29;905;903;0.9978;0
avelino/awesome-go;166229;2014-07-06;2026-02-28;11.65;Go;3578;0;723;713;0.9862;0
ollama/ollama;163690;2023-06-26;2026-02-28;2.68;Go;3052;186;9418;7450;0.7910;0
AUTOMATIC1111/stable-diffusion-webui;161387;2022-08-22;2026-02-28;3.52;Python;1883;27;7884;5484;0.6956;0
jlevy/the-art-of-command-line;159975;2015-05-20;2026-02-28;10.78;(não detectada);317;0;258;136;0.5271;0
huggingface/transformers;157127;2018-10-29;2026-02-28;7.34;Python;18682;243;18633;17551;0.9419;0
Snailclimb/JavaGuide;153919;2018-05-07;2026-02-28;7.81;Java;1210;0;1130;1056;0.9345;0
DigitalPlatDev/FreeDomain;149864;2024-05-30;2026-02-28;1.75;HTML;1;0;0;0;0;0
f/prompts.chat;149129;2022-12-05;2026-02-28;3.23;HTML;200;0;130;126;0.9692;0
yt-dlp/yt-dlp;148996;2020-10-26;2026-02-28;5.34;Python;3226;130;11095;9286;0.8370;0
airbnb/javascript;148091;2012-11-01;2026-02-28;13.32;JavaScript;813;0;1399;1299;0.9285;0
langflow-ai/langflow;145147;2023-02-08;2026-02-28;3.06;Python;5717;281;3156;2813;0.8913;0
521xueweihan/HelloGitHub;144167;2016-05-04;2026-02-28;9.82;Python;17;63;2958;2681;0.9064;0
ytdl-org/youtube-dl;139747;2010-10-31;2026-02-28;15.33;Python;1646;341;26818;23189;0.8647;0
vercel/next.js;138040;2016-10-05;2026-02-28;9.40;JavaScript;26051;1000;24297;22248;0.9157;0
yangshun/tech-interview-handbook;137907;2016-07-05;2026-02-28;9.65;TypeScript;486;0;120;76;0.6333;0
Genymobile/scrcpy;136281;2017-11-21;2026-02-28;8.27;C;123;50;5949;3284;0.5520;0
labuladong/fucking-algorithm;132847;2020-02-19;2026-02-28;6.03;Markdown;244;0;961;961;1.0000;0
golang/go;132806;2014-08-19;2026-02-28;11.53;Go;1;0;70313;60895;0.8661;0
langgenius/dify;130705;2023-04-12;2026-02-28;2.88;TypeScript;9601;158;16613;16192;0.9747;0
microsoft/PowerToys;130147;2019-05-01;2026-02-28;6.83;C#;6321;127;38178;30093;0.7882;0
langchain-ai/langchain;127753;2022-10-16;2026-02-28;3.37;Python;16012;1000;9098;8865;0.9744;0
Chalarangelo/30-seconds-of-code;126905;2017-11-29;2026-02-28;8.25;JavaScript;836;12;300;300;1.0000;0
x1xhlol/system-prompts-and-models-of-ai-tools;126306;2025-03-05;2026-02-28;0.99;(não detectada);45;0;188;102;0.5426;0
facebook/react-native;125462;2015-01-09;2026-02-28;11.14;C++;953;442;27572;26825;0.9729;0
open-webui/open-webui;125243;2023-10-06;2026-02-28;2.40;Python;3262;149;7742;7566;0.9773;0
krahets/hello-algo;122536;2022-11-04;2026-02-28;3.32;Java;968;10;282;274;0.9716;0
