scenario_id;scenario_name;treatment;trial;execution_order;elapsed_ms;response_bytes;checksum
Q2;Detalhe do repositorio;REST;3;1053;0.048042;12440;-1302055709
Q2;Detalhe do repositorio;REST;4;1079;0.049541;12440;-1302055709
Q2;Detalhe do repositorio;REST;5;832;0.048708;12440;-1302055709
Q2;Detalhe do repositorio;REST;6;189;0.053083;12440;-1302055709
Q2;Detalhe do repositorio;REST;7;1173;0.048667;12440;-1302055709
Q2;Detalhe do repositorio;REST;8;943;0.049125;12440;-1302055709
Q2;Detalhe do repositorio;REST;9;179;0.052250;12440;-1302055709
Q2;Detalhe do repositorio;REST;10;416;0.048959;12440;-1302055709
Q2;Detalhe do repositorio;REST;11;758;0.047375;12440;-1302055709
Q2;Detalhe do repositorio;REST;12;290;0.048792;12440;-1302055709
Q2;Detalhe do repositorio;REST;13;373;0.048833;12440;-1302055709
Q2;Detalhe do repositorio;REST;14;284;0.049916;12440;-1302055709
Q2;Detalhe do repositorio;REST;15;666;0.048334;12440;-1302055709
Q2;Detalhe do repositorio;REST;16;1074;0.054166;12440;-1302055709
Q2;Detalhe do repositorio;REST;17;56;0.048917;12440;-1302055709
Q2;Detalhe do repositorio;REST;18;295;0.048750;12440;-1302055709
Q2;Detalhe do repositorio;REST;19;824;0.048833;12440;-1302055709
Q2;Detalhe do repositorio;REST;20;359;0.048709;12440;-1302055709
Q2;Detalhe do repositorio;REST;21;775;0.047666;12440;-1302055709
Q2;Detalhe do repositorio;REST;22;224;0.050166;12440;-1302055709
Q2;Detalhe do repositorio;REST;23;1179;0.048250;12440;-1302055709
Q2;Detalhe do repositorio;REST;24;303;0.048500;12440;-1302055709
Q2;Detalhe do repositorio;REST;25;1021;0.050416;12440;-1302055709
Q2;Detalhe do repositorio;REST;26;856;0.048209;12440;-1302055709
Q2;Detalhe do repositorio;REST;27;555;0.049666;12440;-1302055709
Q2;Detalhe do repositorio;REST;28;1042;0.048416;12440;-1302055709
Q2;Detalhe do repositorio;REST;29;243;0.048292;12440;-1302055709
Q2;Detalhe do repositorio;REST;30;133;0.047542;12440;-1302055709
Q2;Detalhe do repositorio;REST;31;616;0.048166;12440;-1302055709
Q2;Detalhe do repositorio;REST;32;888;0.052584;12440;-1302055709
Q2;Detalhe do repositorio;REST;33;1180;0.046917;12440;-1302055709
Q2;Detalhe do repositorio;REST;34;240;0.049625;12440;-1302055709
