cwe_id,cves_count,cvss_medio,rank_severity,high_critical_pct,cwe_nome_curto,cwe_label,faixa_cvss_medio,top30_cvss
CWE-50,1,7.5,212,100.0,CWE-50,CWE-50,HIGH,False
CWE-615,1,7.5,213,100.0,CWE-615,CWE-615,HIGH,False
CWE-832,1,7.5,214,100.0,CWE-832,CWE-832,HIGH,False
CWE-154,1,7.5,215,100.0,CWE-154,CWE-154,HIGH,False
CWE-168,2,7.5,216,100.0,CWE-168,CWE-168,HIGH,False
CWE-34,1,7.5,217,100.0,CWE-34,CWE-34,HIGH,False
CWE-1164,1,7.5,218,100.0,CWE-1164,CWE-1164,HIGH,False
CWE-31,11,7.48,219,72.73,CWE-31,CWE-31,HIGH,False
CWE-272,21,7.48,220,66.67,CWE-272,CWE-272,HIGH,False
CWE-681,100,7.48,221,72.0,CWE-681,CWE-681,HIGH,False
CWE-648,51,7.47,222,68.63,CWE-648,CWE-648,HIGH,False
CWE-523,18,7.47,223,77.78,CWE-523,CWE-523,HIGH,False
CWE-97,7,7.47,224,85.71,CWE-97,CWE-97,HIGH,False
CWE-1332,3,7.47,225,33.33,CWE-1332,CWE-1332,HIGH,False
CWE-467,3,7.47,226,66.67,CWE-467,CWE-467,HIGH,False
CWE-191,375,7.46,227,70.4,CWE-191,CWE-191,HIGH,False
CWE-406,15,7.46,228,80.0,CWE-406,CWE-406,HIGH,False
CWE-757,20,7.46,229,70.0,CWE-757,CWE-757,HIGH,False
CWE-599,12,7.46,230,66.67,CWE-599,CWE-599,HIGH,False
CWE-925,2,7.45,231,50.0,CWE-925,CWE-925,HIGH,False
CWE-466,2,7.45,232,100.0,CWE-466,CWE-466,HIGH,False
CWE-590,16,7.45,233,75.0,CWE-590,CWE-590,HIGH,False
CWE-636,13,7.45,234,53.85,CWE-636,CWE-636,HIGH,False
CWE-371,7,7.44,235,71.43,CWE-371,CWE-371,HIGH,False
CWE-273,34,7.44,236,70.59,CWE-273,CWE-273,HIGH,False
CWE-427,1043,7.43,237,80.54,DLL Hijacking,CWE-427 - DLL Hijacking,HIGH,False
CWE-259,168,7.42,238,65.48,CWE-259,CWE-259,HIGH,False
CWE-1285,37,7.42,239,72.97,CWE-1285,CWE-1285,HIGH,False
CWE-733,5,7.42,240,80.0,CWE-733,CWE-733,HIGH,False
CWE-562,5,7.42,241,60.0,CWE-562,CWE-562,HIGH,False
CWE-1274,6,7.42,242,66.67,CWE-1274,CWE-1274,HIGH,False
CWE-823,83,7.42,243,74.7,CWE-823,CWE-823,HIGH,False
CWE-94,5579,7.41,244,65.94,Code Injection,CWE-94 - Code Injection,HIGH,False
CWE-1335,4,7.4,245,50.0,CWE-1335,CWE-1335,HIGH,False
CWE-472,53,7.39,246,56.6,CWE-472,CWE-472,HIGH,False
CWE-25,11,7.38,247,81.82,CWE-25,CWE-25,HIGH,False
CWE-138,10,7.38,248,70.0,CWE-138,CWE-138,HIGH,False
CWE-15,44,7.37,249,75.0,CWE-15,CWE-15,HIGH,False
CWE-1385,20,7.37,250,55.0,CWE-1385,CWE-1385,HIGH,False
CWE-471,33,7.37,251,57.58,CWE-471,CWE-471,HIGH,False
CWE-274,39,7.36,252,66.67,CWE-274,CWE-274,HIGH,False
CWE-268,20,7.35,253,70.0,CWE-268,CWE-268,HIGH,False
CWE-790,10,7.34,254,50.0,CWE-790,CWE-790,HIGH,False
CWE-417,15,7.34,255,66.67,CWE-417,CWE-417,HIGH,False
CWE-353,31,7.34,256,58.06,CWE-353,CWE-353,HIGH,False
CWE-1032,3,7.33,257,33.33,CWE-1032,CWE-1032,HIGH,False
CWE-347,571,7.33,258,62.52,CWE-347,CWE-347,HIGH,False
CWE-805,35,7.33,259,80.0,CWE-805,CWE-805,HIGH,False
CWE-384,369,7.33,260,60.7,CWE-384,CWE-384,HIGH,False
CWE-591,77,7.32,261,81.82,CWE-591,CWE-591,HIGH,False
CWE-170,34,7.31,262,64.71,CWE-170,CWE-170,HIGH,False
CWE-35,139,7.31,263,62.59,CWE-35,CWE-35,HIGH,False
CWE-501,21,7.31,264,66.67,CWE-501,CWE-501,HIGH,False
CWE-1112,2,7.3,265,100.0,CWE-1112,CWE-1112,HIGH,False
CWE-499,2,7.3,266,50.0,CWE-499,CWE-499,HIGH,False
CWE-30,1,7.3,267,100.0,CWE-30,CWE-30,HIGH,False
CWE-527,2,7.3,268,50.0,CWE-527,CWE-527,HIGH,False
CWE-356,29,7.29,269,68.97,CWE-356,CWE-356,HIGH,False
CWE-193,158,7.29,270,63.29,CWE-193,CWE-193,HIGH,False
CWE-331,113,7.29,271,61.06,CWE-331,CWE-331,HIGH,False
CWE-830,12,7.28,272,58.33,CWE-830,CWE-830,HIGH,False
CWE-1394,12,7.28,273,66.67,CWE-1394,CWE-1394,HIGH,False
CWE-267,53,7.28,274,66.04,CWE-267,CWE-267,HIGH,False
CWE-36,101,7.27,275,66.34,CWE-36,CWE-36,HIGH,False
CWE-1189,3,7.27,276,100.0,CWE-1189,CWE-1189,HIGH,False
CWE-420,30,7.26,277,60.0,CWE-420,CWE-420,HIGH,False
CWE-27,24,7.25,278,58.33,CWE-27,CWE-27,HIGH,False
CWE-774,2,7.25,279,100.0,CWE-774,CWE-774,HIGH,False
CWE-23,350,7.24,280,61.71,CWE-23,CWE-23,HIGH,False
CWE-73,304,7.24,281,59.54,CWE-73,CWE-73,HIGH,False
CWE-463,3,7.23,282,66.67,CWE-463,CWE-463,HIGH,False
CWE-762,11,7.23,283,72.73,CWE-762,CWE-762,HIGH,False
CWE-260,23,7.23,284,56.52,CWE-260,CWE-260,HIGH,False
CWE-767,4,7.22,285,75.0,CWE-767,CWE-767,HIGH,False
CWE-820,9,7.22,286,55.56,CWE-820,CWE-820,HIGH,False
CWE-76,9,7.21,287,55.56,CWE-76,CWE-76,HIGH,False
CWE-321,230,7.21,288,59.13,CWE-321,CWE-321,HIGH,False
CWE-824,264,7.2,289,68.94,CWE-824,CWE-824,HIGH,False
CWE-550,3,7.2,290,66.67,CWE-550,CWE-550,HIGH,False
CWE-149,4,7.2,291,75.0,CWE-149,CWE-149,HIGH,False
CWE-233,24,7.2,292,54.17,CWE-233,CWE-233,HIGH,False
CWE-236,1,7.2,293,100.0,CWE-236,CWE-236,HIGH,False
CWE-1190,1,7.2,294,100.0,CWE-1190,CWE-1190,HIGH,False
CWE-179,3,7.2,295,66.67,CWE-179,CWE-179,HIGH,False
CWE-333,1,7.2,296,100.0,CWE-333,CWE-333,HIGH,False
CWE-444,277,7.2,297,58.84,CWE-444,CWE-444,HIGH,False
CWE-763,85,7.19,298,63.53,CWE-763,CWE-763,HIGH,False
CWE-783,17,7.19,299,76.47,CWE-783,CWE-783,HIGH,False
CWE-158,17,7.19,300,52.94,CWE-158,CWE-158,HIGH,False
CWE-453,16,7.19,301,56.25,CWE-453,CWE-453,HIGH,False
CWE-706,89,7.18,302,58.43,CWE-706,CWE-706,HIGH,False
CWE-270,23,7.18,303,56.52,CWE-270,CWE-270,HIGH,False
CWE-338,148,7.17,304,64.19,CWE-338,CWE-338,HIGH,False
CWE-330,343,7.17,305,58.02,CWE-330,CWE-330,HIGH,False
CWE-1049,3,7.17,306,66.67,CWE-1049,CWE-1049,HIGH,False
CWE-189,1229,7.16,307,53.3,Numeric Errors,CWE-189 - Numeric Errors,HIGH,False
CWE-322,16,7.16,308,68.75,CWE-322,CWE-322,HIGH,False
CWE-155,14,7.16,309,35.71,CWE-155,CWE-155,HIGH,False
CWE-130,69,7.16,310,68.12,CWE-130,CWE-130,HIGH,False
CWE-192,4,7.15,311,75.0,CWE-192,CWE-192,HIGH,False
CWE-920,4,7.15,312,50.0,CWE-920,CWE-920,HIGH,False
CWE-761,2,7.15,313,50.0,CWE-761,CWE-761,HIGH,False
CWE-1384,2,7.15,314,50.0,CWE-1384,CWE-1384,HIGH,False
CWE-351,12,7.15,315,58.33,CWE-351,CWE-351,HIGH,False
CWE-228,13,7.15,316,61.54,CWE-228,CWE-228,HIGH,False
CWE-390,13,7.14,317,46.15,CWE-390,CWE-390,HIGH,False
CWE-112,6,7.13,318,66.67,CWE-112,CWE-112,HIGH,False
CWE-308,7,7.13,319,57.14,CWE-308,CWE-308,HIGH,False
CWE-184,61,7.13,320,55.74,CWE-184,CWE-184,HIGH,False
CWE-1240,11,7.12,321,54.55,CWE-1240,CWE-1240,HIGH,False
CWE-436,79,7.12,322,56.96,CWE-436,CWE-436,HIGH,False
CWE-641,11,7.11,323,54.55,CWE-641,CWE-641,HIGH,False
CWE-613,438,7.11,324,56.39,CWE-613,CWE-613,HIGH,False
CWE-345,485,7.1,325,56.49,CWE-345,CWE-345,HIGH,False
CWE-318,1,7.1,326,100.0,CWE-318,CWE-318,HIGH,False
CWE-1282,1,7.1,327,100.0,CWE-1282,CWE-1282,HIGH,False
