cwe_id,cwe_nome_curto,cwe_label
CWE-474,CWE-474,CWE-474
CWE-475,CWE-475,CWE-475
CWE-476,NULL Pointer Dereference,CWE-476 - NULL Pointer Dereference
CWE-477,CWE-477,CWE-477
CWE-479,CWE-479,CWE-479
CWE-480,CWE-480,CWE-480
CWE-482,CWE-482,CWE-482
CWE-485,CWE-485,CWE-485
CWE-488,CWE-488,CWE-488
CWE-489,CWE-489,CWE-489
CWE-491,CWE-491,CWE-491
CWE-494,CWE-494,CWE-494
CWE-495,CWE-495,CWE-495
CWE-497,CWE-497,CWE-497
CWE-499,CWE-499,CWE-499
CWE-5,CWE-5,CWE-5
CWE-50,CWE-50,CWE-50
CWE-501,CWE-501,CWE-501
CWE-502,Deserialization,CWE-502 - Deserialization
CWE-506,CWE-506,CWE-506
CWE-507,CWE-507,CWE-507
CWE-508,CWE-508,CWE-508
CWE-509,CWE-509,CWE-509
CWE-511,CWE-511,CWE-511
CWE-520,CWE-520,CWE-520
CWE-521,CWE-521,CWE-521
CWE-522,Insufficiently Protected Credentials,CWE-522 - Insufficiently Protected Credentials
CWE-523,CWE-523,CWE-523
CWE-524,CWE-524,CWE-524
CWE-525,CWE-525,CWE-525
CWE-526,CWE-526,CWE-526
CWE-527,CWE-527,CWE-527
CWE-528,CWE-528,CWE-528
CWE-529,CWE-529,CWE-529
CWE-530,CWE-530,CWE-530
CWE-531,CWE-531,CWE-531
CWE-532,Sensitive Info in Log,CWE-532 - Sensitive Info in Log
CWE-534,CWE-534,CWE-534
CWE-535,CWE-535,CWE-535
CWE-538,CWE-538,CWE-538
CWE-539,CWE-539,CWE-539
CWE-540,CWE-540,CWE-540
CWE-541,CWE-541,CWE-541
CWE-544,CWE-544,CWE-544
CWE-547,CWE-547,CWE-547
CWE-548,CWE-548,CWE-548
CWE-549,CWE-549,CWE-549
CWE-550,CWE-550,CWE-550
CWE-551,CWE-551,CWE-551
CWE-552,CWE-552,CWE-552
CWE-555,CWE-555,CWE-555
CWE-556,CWE-556,CWE-556
CWE-561,CWE-561,CWE-561
CWE-562,CWE-562,CWE-562
CWE-563,CWE-563,CWE-563
CWE-564,CWE-564,CWE-564
CWE-565,CWE-565,CWE-565
CWE-566,CWE-566,CWE-566
CWE-567,CWE-567,CWE-567
CWE-57,CWE-57,CWE-57
CWE-570,CWE-570,CWE-570
CWE-571,CWE-571,CWE-571
CWE-573,CWE-573,CWE-573
