cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-279,21,291,99.04,CWE-279,CWE-279,0.008,False,False
CWE-272,21,292,99.05,CWE-272,CWE-272,0.008,False,False
CWE-313,21,293,99.06,CWE-313,CWE-313,0.008,False,False
CWE-757,20,294,99.07,CWE-757,CWE-757,0.007,False,False
CWE-268,20,295,99.07,CWE-268,CWE-268,0.007,False,False
CWE-1385,20,296,99.08,CWE-1385,CWE-1385,0.007,False,False
CWE-1295,19,297,99.09,CWE-1295,CWE-1295,0.007,False,False
CWE-1288,19,298,99.1,CWE-1288,CWE-1288,0.007,False,False
CWE-488,19,299,99.1,CWE-488,CWE-488,0.007,False,False
CWE-833,19,300,99.11,CWE-833,CWE-833,0.007,False,False
CWE-1230,19,301,99.12,CWE-1230,CWE-1230,0.007,False,False
CWE-410,18,302,99.12,CWE-410,CWE-410,0.006,False,False
CWE-324,18,303,99.13,CWE-324,CWE-324,0.006,False,False
CWE-927,18,304,99.13,CWE-927,CWE-927,0.006,False,False
CWE-696,18,305,99.14,CWE-696,CWE-696,0.006,False,False
CWE-523,18,306,99.15,CWE-523,CWE-523,0.006,False,False
CWE-84,18,307,99.15,CWE-84,CWE-84,0.006,False,False
CWE-1191,18,308,99.16,CWE-1191,CWE-1191,0.006,False,False
CWE-943,18,309,99.17,CWE-943,CWE-943,0.006,False,False
CWE-226,18,310,99.17,CWE-226,CWE-226,0.006,False,False
CWE-684,18,311,99.18,CWE-684,CWE-684,0.006,False,False
CWE-708,18,312,99.19,CWE-708,CWE-708,0.006,False,False
CWE-778,18,313,99.19,CWE-778,CWE-778,0.006,False,False
CWE-357,17,314,99.2,CWE-357,CWE-357,0.006,False,False
CWE-158,17,315,99.21,CWE-158,CWE-158,0.006,False,False
CWE-460,17,316,99.21,CWE-460,CWE-460,0.006,False,False
CWE-214,17,317,99.22,CWE-214,CWE-214,0.006,False,False
CWE-783,17,318,99.22,CWE-783,CWE-783,0.006,False,False
CWE-657,17,319,99.23,CWE-657,CWE-657,0.006,False,False
CWE-322,16,320,99.24,CWE-322,CWE-322,0.006,False,False
CWE-779,16,321,99.24,CWE-779,CWE-779,0.006,False,False
CWE-590,16,322,99.25,CWE-590,CWE-590,0.006,False,False
CWE-395,16,323,99.25,CWE-395,CWE-395,0.006,False,False
CWE-1104,16,324,99.26,CWE-1104,CWE-1104,0.006,False,False
CWE-195,16,325,99.26,CWE-195,CWE-195,0.006,False,False
CWE-453,16,326,99.27,CWE-453,CWE-453,0.006,False,False
CWE-603,16,327,99.28,CWE-603,CWE-603,0.006,False,False
CWE-417,15,328,99.28,CWE-417,CWE-417,0.005,False,False
CWE-183,15,329,99.29,CWE-183,CWE-183,0.005,False,False
CWE-172,15,330,99.29,CWE-172,CWE-172,0.005,False,False
CWE-253,15,331,99.3,CWE-253,CWE-253,0.005,False,False
CWE-83,15,332,99.3,CWE-83,CWE-83,0.005,False,False
CWE-642,15,333,99.31,CWE-642,CWE-642,0.005,False,False
CWE-477,15,334,99.31,CWE-477,CWE-477,0.005,False,False
CWE-350,15,335,99.32,CWE-350,CWE-350,0.005,False,False
CWE-406,15,336,99.32,CWE-406,CWE-406,0.005,False,False
CWE-837,14,337,99.33,CWE-837,CWE-837,0.005,False,False
CWE-449,14,338,99.33,CWE-449,CWE-449,0.005,False,False
CWE-215,14,339,99.34,CWE-215,CWE-215,0.005,False,False
CWE-549,14,340,99.34,CWE-549,CWE-549,0.005,False,False
CWE-606,14,341,99.35,CWE-606,CWE-606,0.005,False,False
CWE-283,14,342,99.35,CWE-283,CWE-283,0.005,False,False
CWE-244,14,343,99.36,CWE-244,CWE-244,0.005,False,False
CWE-155,14,344,99.36,CWE-155,CWE-155,0.005,False,False
CWE-140,14,345,99.37,CWE-140,CWE-140,0.005,False,False
CWE-26,14,346,99.37,CWE-26,CWE-26,0.005,False,False
CWE-939,13,347,99.38,CWE-939,CWE-939,0.005,False,False
